index,president,sign,first_name,last_name
1,George Washington,Pisces,George,Washington
2,John Adams,Scorpio,John,Adams
3,Thomas Jefferson,Aries,Thomas,Jefferson
4,James Madison,Pisces,James,Madison
5,James Monroe,Taurus,James,Monroe
6,John Q. Adams,Cancer,John Q, Adams
7,Andrew Jackson,Pisces,Andrew,Jackson
8,Martin Van Buren,Sagittarius,Martin,Buren
9,William Henry Harrison,Aquarius,William,Harrison
10,John Tyler,Aries,John,Tyler
11,James K. Polk,Scorpio,James K, Polk
12,Zachary Taylor,Sagittarius,Zachary,Taylor
13,Millard Fillmore,Capricorn,Millard,Fillmore
14,Franklin Pierce,Sagittarius,Franklin,Pierce
15,James Buchanan,Taurus,James,Buchanan
16,Abraham Lincoln,Aquarius,Abraham,Lincoln
17,Andrew Johnson,Capricorn,Andrew,Johnson
18,Ulysses S. Grant,Taurus,Ulysses S, Grant
19,Rutherford B. Hayes,Libra,Rutherford B, Hayes
20,James A. Garfield,Scorpio,James A, Garfield
21,Chester A. Arthur,Libra,Chester A, Arthur
22,Grover Cleveland,Pisces,Grover,Cleveland
23,Benjamin Harrison,Leo,Benjamin,Harrison
24,Grover Cleveland,,Grover,Cleveland
25,William McKinley,Aquarius,William,McKinley
26,Theodore Roosevelt,Scorpio,Theodore,Roosevelt
27,William Howard Taft,Virgo,William,Taft
28,Woodrow Wilson,Capricorn,Woodrow,Wilson
29,Warren G. Harding,Scorpio,Warren G, Harding
30,Calvin Coolidge,Cancer,Calvin,Coolidge
31,Herbert Hoover,Leo,Herbert,Hoover
32,Franklin D. Roosevelt,Aquarius,Franklin D, Roosevelt
33,Harry S. Truman,Taurus,Harry S, Truman
34,Dwight D. Eisenhower,Libra,Dwight D, Eisenhower
35,John F. Kennedy,Gemini,John F, Kennedy
36,Lyndon B. Johnson,Virgo,Lyndon B, Johnson
37,Richard Nixon,Capricorn,Richard,Nixon
38,Gerald Ford,Cancer,Gerald,Ford
39,Jimmy Carter,Libra,Jimmy,Carter
40,Ronald Reagan,Aquarius,Ronald,Reagan
41,George H. W. Bush,Gemini,George H. W, Bush
42,Bill Clinton,Leo,Bill,Clinton
43,George W. Bush,Cancer,George W, Bush
44,Barack Obama,Leo,Barack,Obama
45,Donald J. Trump,Gemini,Donald J, Trump
46,Joseph R. Biden,Scorpio,Joseph R, Biden
